tempo,valor_letra,letra,mm_curta,mm_longa,prob_curta,prob_longa,volume,macd,signal,hist_macd
1,2,B,2.0,2.0,0.2857142857142857,0.2857142857142857,0,0.0,0.0,0.0
2,4,D,3.0,3.0,0.42857142857142855,0.42857142857142855,2,0.15954415954415957,0.03190883190883192,0.12763532763532764
3,6,F,5.0,4.0,0.7142857142857143,0.5714285714285714,2,0.44226913742583296,0.11398089301223213,0.3282882444136008
4,1,H,3.5,3.25,0.5,0.4642857142857143,5,0.2598768079892424,0.1431600760076342,0.1167167319816082
5,3,J,2.0,3.2,0.2857142857142857,0.4571428571428572,2,0.27355943526269133,0.16923994785864563,0.1043194874040457
6,5,L,4.0,3.5,0.5714285714285714,0.5,2,0.4407061154881835,0.22353318138455322,0.21717293410363028
7,7,N,6.0,4.0,0.8571428571428571,0.5714285714285714,2,0.7261833593629916,0.3240632169802409,0.40212014238275073
8,2,P,4.5,3.75,0.6428571428571429,0.5357142857142857,5,0.5427118739730208,0.36779294837879684,0.17491892559422395
9,4,R,3.0,3.7777777777777777,0.42857142857142855,0.5396825396825397,2,0.5523258170552601,0.4046995221140895,0.14762629494117058
10,6,T,5.0,4.0,0.7142857142857143,0.5714285714285714,2,0.7131079568825953,0.4663812090677907,0.24672674781480464
11,1,V,3.5,3.9,0.5,0.5571428571428572,5,0.4320898845891108,0.4595229441720547,-0.027433059582943897
12,3,X,2.0,3.8,0.2857142857142857,0.5428571428571428,2,0.3665390885233992,0.4409261730423236,-0.0743870845189244
13,5,Z,4.0,3.7,0.5714285714285714,0.5285714285714286,2,0.4705487031326179,0.44685067906038245,0.023698024072235424
14,1,A,3.0,3.7,0.42857142857142855,0.5285714285714286,4,0.22758701995599306,0.40299794723950455,-0.1754109272835115
15,3,C,2.0,3.7,0.2857142857142857,0.5285714285714286,2,0.19418300014574852,0.3612349578207533,-0.1670519576750048
