tempo,valor_letra,letra,mm_curta,mm_longa,prob_curta,prob_longa,volume,macd,signal,hist_macd
1,1,A,1.0,1.0,0.14285714285714285,0.14285714285714285,0,0.0,0.0,0.0
2,4,D,2.5,2.5,0.35714285714285715,0.35714285714285715,3,0.23931623931623935,0.047863247863247874,0.1914529914529915
3,6,F,5.0,3.6666666666666665,0.7142857142857143,0.5238095238095238,2,0.5836316263666692,0.15501692356393215,0.42861470280273706
4,1,H,3.5,3.0,0.5,0.42857142857142855,5,0.44788292247322614,0.21359012334579094,0.2342927991274352
5,3,J,2.0,3.0,0.2857142857142857,0.42857142857142855,2,0.49596718099006476,0.2700655348746457,0.22590164611541907
6,5,L,4.0,3.3333333333333335,0.5714285714285714,0.4761904761904762,2,0.687532145001946,0.35355885690010574,0.3339732881018403
7,7,N,6.0,3.857142857142857,0.8571428571428571,0.5510204081632654,2,0.9893276906522579,0.48071262365053613,0.5086150670017218
8,2,P,4.5,3.625,0.6428571428571429,0.5178571428571429,5,0.8156424037326762,0.5476985796669641,0.26794382406571204
9,4,R,3.0,3.6666666666666665,0.42857142857142855,0.5238095238095238,2,0.8298132769012923,0.6041215191138297,0.22569175778746253
10,6,T,5.0,3.9,0.7142857142857143,0.5571428571428572,2,0.991003410843641,0.681497897459792,0.309505513383849
11,1,V,3.5,3.9,0.5,0.5571428571428572,5,0.7071380922988295,0.6866259364275995,0.02051215587123001
12,3,X,2.0,3.8,0.2857142857142857,0.5428571428571428,2,0.6362220952360991,0.6765451681892994,-0.04032307295320037
13,5,Z,4.0,3.7,0.5714285714285714,0.5285714285714286,2,0.732954894172865,0.6878271133860125,0.04512778078685242
14,1,A,3.0,3.7,0.42857142857142855,0.5285714285714286,4,0.48130161819257733,0.6465220143473255,-0.16522039615474815
15,3,C,2.0,3.7,0.2857142857142857,0.5285714285714286,2,0.43819661144799227,0.6048569337674589,-0.1666603223194666
16,1,A,2.0,3.3,0.2857142857142857,0.4714285714285714,2,0.23988702939513473,0.531862952892994,-0.2919759234978593
17,4,D,2.5,3.0,0.35714285714285715,0.42857142857142855,3,0.3210987582210145,0.4897101139585981,-0.16861135573758357
18,4,Y,4.0,3.2,0.5714285714285714,0.4571428571428572,0,0.3810669359823615,0.4679814783633508,-0.08691454238098928
19,4,R,4.0,3.2,0.5714285714285714,0.4571428571428572,0,0.42370790789244994,0.45912676426917065,-0.03541885637672071
20,2,B,3.0,2.8,0.42857142857142855,0.39999999999999997,2,0.2927433370767929,0.4258500788306951,-0.1331067417539022
