tempo,valor_letra,letra,mm_curta,mm_longa,prob_curta,prob_longa,volume,macd,signal,hist_macd
1,3,C,3.0,3.0,0.5,0.5,0,0.0,0.0,0.0
2,4,D,3.5,3.5,0.5833333333333334,0.5833333333333334,1,0.07977207977207978,0.01595441595441596,0.06381766381766382
3,4,Y,4.0,3.6666666666666665,0.6666666666666666,0.611111111111111,0,0.1413624889408367,0.0410360305517001,0.10032645838913659
4,6,M,5.0,4.25,0.8333333333333334,0.7083333333333334,2,0.34755027402814376,0.10233887924698884,0.24521139478115492
5,2,P,4.0,3.8,0.6666666666666666,0.6333333333333333,4,0.186044404520727,0.11907998430173647,0.06696442021899054
6,4,K,3.0,3.8333333333333335,0.5,0.638888888888889,2,0.2169324622625437,0.13865047989389792,0.07828198236864578
7,2,B,3.0,3.5714285714285716,0.5,0.5952380952380952,2,0.07911618314559021,0.12674362054423638,-0.047627437398646166
8,1,A,1.5,3.25,0.25,0.5416666666666666,1,-0.10953322280809807,0.07948825187376948,-0.18902147468186756
9,4,R,2.5,3.3333333333333335,0.4166666666666667,0.5555555555555556,3,-0.016770982768302467,0.06023640494535509,-0.07700738771365756
10,2,W,3.0,3.2,0.5,0.5333333333333333,2,-0.10344705130956511,0.02749971369437105,-0.13094676500393615
