tempo,valor_letra,letra,mm_curta,mm_longa,prob_curta,prob_longa,volume,macd,signal,hist_macd
1,4,K,4.0,4.0,0.5714285714285714,0.5714285714285714,0,0.0,0.0,0.0
2,6,M,5.0,5.0,0.7142857142857143,0.7142857142857143,2,0.15954415954415957,0.03190883190883192,0.12763532763532764
3,3,Q,4.5,4.333333333333333,0.6428571428571429,0.619047619047619,3,0.043408738565434035,0.03420881324015234,0.009199925325281695
4,4,D,3.5,4.25,0.5,0.6071428571428571,1,0.03169684191753852,0.03370641897562958,-0.0020095770580910582
5,1,A,2.5,3.6,0.35714285714285715,0.5142857142857143,3,-0.21715660237260792,-0.01646618529401793,-0.20069041707858998
6,3,X,2.0,3.5,0.2857142857142857,0.5,2,-0.2501083709489609,-0.06319462242500652,-0.18691374852395437
7,2,P,2.5,3.2857142857142856,0.35714285714285715,0.4693877551020408,1,-0.352847125577739,-0.12112512305555302,-0.231722002522186
8,5,Z,3.5,3.5,0.5,0.5,3,-0.19000316267347417,-0.13490073097913724,-0.05510243169433693
9,7,G,6.0,3.888888888888889,0.8571428571428571,0.5555555555555556,2,0.09929057649851059,-0.08806246948360767,0.18735304598211827
10,3,J,5.0,3.8,0.7142857142857143,0.5428571428571428,4,0.005725379821307719,-0.0693048996226246,0.07503027944393231
11,3,C,3.0,3.7,0.42857142857142855,0.5285714285714286,0,-0.06764593244511952,-0.06897310618712357,0.0013271737420040564
12,4,R,3.5,3.5,0.5,0.5,1,-0.044587605218586734,-0.06409600599341621,0.019508400774829474
13,1,V,2.5,3.3,0.35714285714285715,0.4714285714285714,3,-0.2653300826881857,-0.1043428213323701,-0.1609872613558156
14,5,S,3.0,3.4,0.42857142857142855,0.4857142857142857,4,-0.11616444443572682,-0.10670714595304145,-0.009457298482685367
15,1,O,3.0,3.4,0.42857142857142855,0.4857142857142857,4,-0.31706128689393465,-0.1487779741412201,-0.16828331275271455
